,state,Job Title,Experience,Locations,Description,Tags Associated,Dates posted,Scraped date
9,assam,Area Sales Officers- Reliance Retail JHON PLAYERS,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur"," experience in showroom sales with clothing industry Experience : 3-5 Year in Sales, Sal...",garmentsRetail Salessales executive activitiesclothingapparelshowroom sales,HOT JOB22 Days Agosave,Mon Apr 27
10,assam,CHANNEL MANAGER - SALES,4-6 Yrs,Guwahati, QUALIFICATION ESSENTIAL : Graduation ADDITIONAL QUALIFICATION : EXPERIENCE : 4 - 6 Year...,TrainingMutual fundsIPORecruitment,30+ Days Agosave,Mon Apr 27
11,assam,ASM ,3-8 Yrs,"Guwahati, Kolkata", Should be a Graduate / Post Graduate with 5 to 6 years of experience of sales in same t...,TradeSales,30+ Days Agosave,Mon Apr 27
12,assam,Sales Manager,1-3 Yrs,Guwahati, Graduate with min. 4 to 7 years of experience of sales in Laminates / Plywood / Hardwar...,Distribution managementSalesExcelRelationshipHardware,30+ Days Agosave,Mon Apr 27
13,assam,Cluster Manager - Administration/Senior Cluster Manager,4-8 Yrs,Guwahati," Duties and Responsibilities - 1.Urban Branch Processes/Activities: Branch SLA Tracking,...",HousekeepingTeam managementLegal complianceMISLegalMS OfficeFacility managementCCTV,30+ Days Agosave,Mon Apr 27
0,assam,Urgent Requirement-insuarance Officer-bancassurance- Silchar,1-6 Yrs,Silchar, Minimum GraduateExperience & Qualifications:,Automobiletravel insuranceLife InsuranceBrokingagency salessaleswealth planning officerTravel,HOT JOB5 Days Agosave,Mon Apr 27
1,assam,On the Role Opportunity in Max Life Insurance,2-7 Yrs,"Guwahati, Asansol, Burdwan, Kolkata"," Team building Agent recruitment Driving business through team members Motivating, monit...",BdSalesExecutive Sales & MarketingLife InsuranceTeam BuildingDistributionAgent RecruitmentChannel Sales,PREFERRED4 Days Agosave,Mon Apr 27
2,assam,Area Sales Officers- Reliance Retail JHON Players,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur", The candidate should have a valid Aadhar cardExperience : 3-5 Year in FIELD Sales APPAR...,garmentssales executive activitiesclothingapparelretail sales,HOT JOB6 Days Agosave,Mon Apr 27
3,assam,Phone Banking Officer,0-3 Yrs,"Guwahati, Mumbai, Hyderabad", Phone Banking Officer Job Title : Phone Banking officer Handling and resolving customer...,Phone bankingCustomer complaintsbanking products,30+ Days Agosave,Mon Apr 27
4,assam,Executive - Collections,0-3 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,ExecutivePeople management skillsRelationshipLegalCostMonitoring,30+ Days Agosave,Mon Apr 27
5,assam,Anesthesia Specialist,0-5 Yrs,"Guwahati, Vadodara", Wanted Anesthesia doctor to a reputed hospital in Guwahati AssamVacancy : 2Educational ...,AnaesthesiologyAnesthesia SpecialistAnesthesia doctorAnesthesia,HOT JOB27 Days Agosave,Mon Apr 27
6,assam,Urban Jio Point Manager C,3-5 Yrs,"Mangaldoi, Assam", 1. Identify and prioritize localities/areas for home and micro segment 2. Ensure accura...,TrainingTeam managementSalesMentorManagementCustomer engagement,7 Days Agosave,Mon Apr 27
7,assam,Regional Manager - Digital Product Finance ,4-6 Yrs,Guwahati, Duties and Responsibilities - Managing and supporting the effective deployment of team ...,Analytical skillsPMPEmployee developmentmanagementChannel managementMS OfficeChannel developmentFinancial services,30+ Days Agosave,Mon Apr 27
8,assam,Area Manager - Digital Product Finance - Growth/Senior Area Manager ,4-6 Yrs,Guwahati, Duties and Responsibilities - Engage with channel partners to build and strengthen rela...,TrainingRelationshipChannel managementManagementMS OfficeCostSales achievementRecruitment,30 Days Agosave,Mon Apr 27
9,assam,Area Sales Officers- Reliance Retail JHON PLAYERS,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur"," experience in showroom sales with clothing industry Experience : 3-5 Year in Sales, Sal...",garmentsRetail Salessales executive activitiesclothingapparelshowroom sales,HOT JOB22 Days Agosave,Mon Apr 27
10,assam,CHANNEL MANAGER - SALES,4-6 Yrs,Guwahati, QUALIFICATION ESSENTIAL : Graduation ADDITIONAL QUALIFICATION : EXPERIENCE : 4 - 6 Year...,TrainingMutual fundsIPORecruitment,30+ Days Agosave,Mon Apr 27
11,assam,ASM ,3-8 Yrs,"Guwahati, Kolkata", Should be a Graduate / Post Graduate with 5 to 6 years of experience of sales in same t...,TradeSales,30+ Days Agosave,Mon Apr 27
12,assam,Sales Manager,1-3 Yrs,Guwahati, Graduate with min. 4 to 7 years of experience of sales in Laminates / Plywood / Hardwar...,Distribution managementSalesExcelRelationshipHardware,30+ Days Agosave,Mon Apr 27
13,assam,Cluster Manager - Administration/Senior Cluster Manager,4-8 Yrs,Guwahati," Duties and Responsibilities - 1.Urban Branch Processes/Activities: Branch SLA Tracking,...",HousekeepingTeam managementLegal complianceMISLegalMS OfficeFacility managementCCTV,30+ Days Agosave,Mon Apr 27
14,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - Responsible for Field Debt Collection of Credit Card in t...,debt collectionInterpersonal skillsAssistant Manager CollectionsLegalManualManagementMonitoringAuditing,30+ Days Agosave,Mon Apr 27
0,assam,Urgent Requirement-insuarance Officer-bancassurance- Silchar,1-6 Yrs,Silchar, Minimum GraduateExperience & Qualifications:,Automobiletravel insuranceLife InsuranceBrokingagency salessaleswealth planning officerTravel,HOT JOB5 Days Agosave,Mon Apr 27
1,assam,On the Role Opportunity in Max Life Insurance,2-7 Yrs,"Guwahati, Asansol, Burdwan, Kolkata"," Team building Agent recruitment Driving business through team members Motivating, monit...",BdSalesExecutive Sales & MarketingLife InsuranceTeam BuildingDistributionAgent RecruitmentChannel Sales,PREFERRED4 Days Agosave,Mon Apr 27
2,assam,Area Sales Officers- Reliance Retail JHON Players,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur", The candidate should have a valid Aadhar cardExperience : 3-5 Year in FIELD Sales APPAR...,garmentssales executive activitiesclothingapparelretail sales,HOT JOB6 Days Agosave,Mon Apr 27
3,assam,Phone Banking Officer,0-3 Yrs,"Guwahati, Mumbai, Hyderabad", Phone Banking Officer Job Title : Phone Banking officer Handling and resolving customer...,Phone bankingCustomer complaintsbanking products,30+ Days Agosave,Mon Apr 27
4,assam,Executive - Collections,0-3 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,ExecutivePeople management skillsRelationshipLegalCostMonitoring,30+ Days Agosave,Mon Apr 27
5,assam,Anesthesia Specialist,0-5 Yrs,"Guwahati, Vadodara", Wanted Anesthesia doctor to a reputed hospital in Guwahati AssamVacancy : 2Educational ...,AnaesthesiologyAnesthesia SpecialistAnesthesia doctorAnesthesia,HOT JOB27 Days Agosave,Mon Apr 27
6,assam,Urban Jio Point Manager C,3-5 Yrs,"Mangaldoi, Assam", 1. Identify and prioritize localities/areas for home and micro segment 2. Ensure accura...,TrainingTeam managementSalesMentorManagementCustomer engagement,7 Days Agosave,Mon Apr 27
7,assam,Regional Manager - Digital Product Finance ,4-6 Yrs,Guwahati, Duties and Responsibilities - Managing and supporting the effective deployment of team ...,Analytical skillsPMPEmployee developmentmanagementChannel managementMS OfficeChannel developmentFinancial services,30+ Days Agosave,Mon Apr 27
8,assam,Area Manager - Digital Product Finance - Growth/Senior Area Manager ,4-6 Yrs,Guwahati, Duties and Responsibilities - Engage with channel partners to build and strengthen rela...,TrainingRelationshipChannel managementManagementMS OfficeCostSales achievementRecruitment,30 Days Agosave,Mon Apr 27
9,assam,Area Sales Officers- Reliance Retail JHON PLAYERS,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur"," experience in showroom sales with clothing industry Experience : 3-5 Year in Sales, Sal...",garmentsRetail Salessales executive activitiesclothingapparelshowroom sales,HOT JOB22 Days Agosave,Mon Apr 27
10,assam,CHANNEL MANAGER - SALES,4-6 Yrs,Guwahati, QUALIFICATION ESSENTIAL : Graduation ADDITIONAL QUALIFICATION : EXPERIENCE : 4 - 6 Year...,TrainingMutual fundsIPORecruitment,30+ Days Agosave,Mon Apr 27
11,assam,ASM ,3-8 Yrs,"Guwahati, Kolkata", Should be a Graduate / Post Graduate with 5 to 6 years of experience of sales in same t...,TradeSales,30+ Days Agosave,Mon Apr 27
12,assam,Sales Manager,1-3 Yrs,Guwahati, Graduate with min. 4 to 7 years of experience of sales in Laminates / Plywood / Hardwar...,Distribution managementSalesExcelRelationshipHardware,30+ Days Agosave,Mon Apr 27
13,assam,Cluster Manager - Administration/Senior Cluster Manager,4-8 Yrs,Guwahati," Duties and Responsibilities - 1.Urban Branch Processes/Activities: Branch SLA Tracking,...",HousekeepingTeam managementLegal complianceMISLegalMS OfficeFacility managementCCTV,30+ Days Agosave,Mon Apr 27
14,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - Responsible for Field Debt Collection of Credit Card in t...,debt collectionInterpersonal skillsAssistant Manager CollectionsLegalManualManagementMonitoringAuditing,30+ Days Agosave,Mon Apr 27
15,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,Cash collectionExcelRTDData managementPeople management skillsAssistant Manager CollectionsRelationshipLegal,30+ Days Agosave,Mon Apr 27
0,assam,Urgent Requirement-insuarance Officer-bancassurance- Silchar,1-6 Yrs,Silchar, Minimum GraduateExperience & Qualifications:,Automobiletravel insuranceLife InsuranceBrokingagency salessaleswealth planning officerTravel,HOT JOB5 Days Agosave,Mon Apr 27
1,assam,On the Role Opportunity in Max Life Insurance,2-7 Yrs,"Guwahati, Asansol, Burdwan, Kolkata"," Team building Agent recruitment Driving business through team members Motivating, monit...",BdSalesExecutive Sales & MarketingLife InsuranceTeam BuildingDistributionAgent RecruitmentChannel Sales,PREFERRED4 Days Agosave,Mon Apr 27
2,assam,Area Sales Officers- Reliance Retail JHON Players,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur", The candidate should have a valid Aadhar cardExperience : 3-5 Year in FIELD Sales APPAR...,garmentssales executive activitiesclothingapparelretail sales,HOT JOB6 Days Agosave,Mon Apr 27
3,assam,Phone Banking Officer,0-3 Yrs,"Guwahati, Mumbai, Hyderabad", Phone Banking Officer Job Title : Phone Banking officer Handling and resolving customer...,Phone bankingCustomer complaintsbanking products,30+ Days Agosave,Mon Apr 27
4,assam,Executive - Collections,0-3 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,ExecutivePeople management skillsRelationshipLegalCostMonitoring,30+ Days Agosave,Mon Apr 27
5,assam,Anesthesia Specialist,0-5 Yrs,"Guwahati, Vadodara", Wanted Anesthesia doctor to a reputed hospital in Guwahati AssamVacancy : 2Educational ...,AnaesthesiologyAnesthesia SpecialistAnesthesia doctorAnesthesia,HOT JOB27 Days Agosave,Mon Apr 27
6,assam,Urban Jio Point Manager C,3-5 Yrs,"Mangaldoi, Assam", 1. Identify and prioritize localities/areas for home and micro segment 2. Ensure accura...,TrainingTeam managementSalesMentorManagementCustomer engagement,7 Days Agosave,Mon Apr 27
7,assam,Regional Manager - Digital Product Finance ,4-6 Yrs,Guwahati, Duties and Responsibilities - Managing and supporting the effective deployment of team ...,Analytical skillsPMPEmployee developmentmanagementChannel managementMS OfficeChannel developmentFinancial services,30+ Days Agosave,Mon Apr 27
8,assam,Area Manager - Digital Product Finance - Growth/Senior Area Manager ,4-6 Yrs,Guwahati, Duties and Responsibilities - Engage with channel partners to build and strengthen rela...,TrainingRelationshipChannel managementManagementMS OfficeCostSales achievementRecruitment,30 Days Agosave,Mon Apr 27
9,assam,Area Sales Officers- Reliance Retail JHON PLAYERS,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur"," experience in showroom sales with clothing industry Experience : 3-5 Year in Sales, Sal...",garmentsRetail Salessales executive activitiesclothingapparelshowroom sales,HOT JOB22 Days Agosave,Mon Apr 27
10,assam,CHANNEL MANAGER - SALES,4-6 Yrs,Guwahati, QUALIFICATION ESSENTIAL : Graduation ADDITIONAL QUALIFICATION : EXPERIENCE : 4 - 6 Year...,TrainingMutual fundsIPORecruitment,30+ Days Agosave,Mon Apr 27
11,assam,ASM ,3-8 Yrs,"Guwahati, Kolkata", Should be a Graduate / Post Graduate with 5 to 6 years of experience of sales in same t...,TradeSales,30+ Days Agosave,Mon Apr 27
12,assam,Sales Manager,1-3 Yrs,Guwahati, Graduate with min. 4 to 7 years of experience of sales in Laminates / Plywood / Hardwar...,Distribution managementSalesExcelRelationshipHardware,30+ Days Agosave,Mon Apr 27
13,assam,Cluster Manager - Administration/Senior Cluster Manager,4-8 Yrs,Guwahati," Duties and Responsibilities - 1.Urban Branch Processes/Activities: Branch SLA Tracking,...",HousekeepingTeam managementLegal complianceMISLegalMS OfficeFacility managementCCTV,30+ Days Agosave,Mon Apr 27
14,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - Responsible for Field Debt Collection of Credit Card in t...,debt collectionInterpersonal skillsAssistant Manager CollectionsLegalManualManagementMonitoringAuditing,30+ Days Agosave,Mon Apr 27
15,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,Cash collectionExcelRTDData managementPeople management skillsAssistant Manager CollectionsRelationshipLegal,30+ Days Agosave,Mon Apr 27
16,assam,Officer Vigilance- For Jorhat location,1-3 Yrs,Assam Other, Required Candidate profile,vigilancefraudrisk,PREFERRED30+ Days Agosave,Mon Apr 27
0,assam,Urgent Requirement-insuarance Officer-bancassurance- Silchar,1-6 Yrs,Silchar, Minimum GraduateExperience & Qualifications:,Automobiletravel insuranceLife InsuranceBrokingagency salessaleswealth planning officerTravel,HOT JOB5 Days Agosave,Mon Apr 27
1,assam,On the Role Opportunity in Max Life Insurance,2-7 Yrs,"Guwahati, Asansol, Burdwan, Kolkata"," Team building Agent recruitment Driving business through team members Motivating, monit...",BdSalesExecutive Sales & MarketingLife InsuranceTeam BuildingDistributionAgent RecruitmentChannel Sales,PREFERRED4 Days Agosave,Mon Apr 27
2,assam,Area Sales Officers- Reliance Retail JHON Players,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur", The candidate should have a valid Aadhar cardExperience : 3-5 Year in FIELD Sales APPAR...,garmentssales executive activitiesclothingapparelretail sales,HOT JOB6 Days Agosave,Mon Apr 27
3,assam,Phone Banking Officer,0-3 Yrs,"Guwahati, Mumbai, Hyderabad", Phone Banking Officer Job Title : Phone Banking officer Handling and resolving customer...,Phone bankingCustomer complaintsbanking products,30+ Days Agosave,Mon Apr 27
4,assam,Executive - Collections,0-3 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,ExecutivePeople management skillsRelationshipLegalCostMonitoring,30+ Days Agosave,Mon Apr 27
5,assam,Anesthesia Specialist,0-5 Yrs,"Guwahati, Vadodara", Wanted Anesthesia doctor to a reputed hospital in Guwahati AssamVacancy : 2Educational ...,AnaesthesiologyAnesthesia SpecialistAnesthesia doctorAnesthesia,HOT JOB27 Days Agosave,Mon Apr 27
6,assam,Urban Jio Point Manager C,3-5 Yrs,"Mangaldoi, Assam", 1. Identify and prioritize localities/areas for home and micro segment 2. Ensure accura...,TrainingTeam managementSalesMentorManagementCustomer engagement,7 Days Agosave,Mon Apr 27
7,assam,Regional Manager - Digital Product Finance ,4-6 Yrs,Guwahati, Duties and Responsibilities - Managing and supporting the effective deployment of team ...,Analytical skillsPMPEmployee developmentmanagementChannel managementMS OfficeChannel developmentFinancial services,30+ Days Agosave,Mon Apr 27
8,assam,Area Manager - Digital Product Finance - Growth/Senior Area Manager ,4-6 Yrs,Guwahati, Duties and Responsibilities - Engage with channel partners to build and strengthen rela...,TrainingRelationshipChannel managementManagementMS OfficeCostSales achievementRecruitment,30 Days Agosave,Mon Apr 27
9,assam,Area Sales Officers- Reliance Retail JHON PLAYERS,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur"," experience in showroom sales with clothing industry Experience : 3-5 Year in Sales, Sal...",garmentsRetail Salessales executive activitiesclothingapparelshowroom sales,HOT JOB22 Days Agosave,Mon Apr 27
10,assam,CHANNEL MANAGER - SALES,4-6 Yrs,Guwahati, QUALIFICATION ESSENTIAL : Graduation ADDITIONAL QUALIFICATION : EXPERIENCE : 4 - 6 Year...,TrainingMutual fundsIPORecruitment,30+ Days Agosave,Mon Apr 27
11,assam,ASM ,3-8 Yrs,"Guwahati, Kolkata", Should be a Graduate / Post Graduate with 5 to 6 years of experience of sales in same t...,TradeSales,30+ Days Agosave,Mon Apr 27
12,assam,Sales Manager,1-3 Yrs,Guwahati, Graduate with min. 4 to 7 years of experience of sales in Laminates / Plywood / Hardwar...,Distribution managementSalesExcelRelationshipHardware,30+ Days Agosave,Mon Apr 27
13,assam,Cluster Manager - Administration/Senior Cluster Manager,4-8 Yrs,Guwahati," Duties and Responsibilities - 1.Urban Branch Processes/Activities: Branch SLA Tracking,...",HousekeepingTeam managementLegal complianceMISLegalMS OfficeFacility managementCCTV,30+ Days Agosave,Mon Apr 27
14,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - Responsible for Field Debt Collection of Credit Card in t...,debt collectionInterpersonal skillsAssistant Manager CollectionsLegalManualManagementMonitoringAuditing,30+ Days Agosave,Mon Apr 27
15,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,Cash collectionExcelRTDData managementPeople management skillsAssistant Manager CollectionsRelationshipLegal,30+ Days Agosave,Mon Apr 27
16,assam,Officer Vigilance- For Jorhat location,1-3 Yrs,Assam Other, Required Candidate profile,vigilancefraudrisk,PREFERRED30+ Days Agosave,Mon Apr 27
17,assam,Officer Vigilance- For Jorhat Location,1-3 Yrs,Assam Other, Required Candidate profile,vigilancefraudrisk,HOT JOB30+ Days Agosave,Mon Apr 27
0,assam,Urgent Requirement-insuarance Officer-bancassurance- Silchar,1-6 Yrs,Silchar, Minimum GraduateExperience & Qualifications:,Automobiletravel insuranceLife InsuranceBrokingagency salessaleswealth planning officerTravel,HOT JOB5 Days Agosave,Mon Apr 27
1,assam,On the Role Opportunity in Max Life Insurance,2-7 Yrs,"Guwahati, Asansol, Burdwan, Kolkata"," Team building Agent recruitment Driving business through team members Motivating, monit...",BdSalesExecutive Sales & MarketingLife InsuranceTeam BuildingDistributionAgent RecruitmentChannel Sales,PREFERRED4 Days Agosave,Mon Apr 27
2,assam,Area Sales Officers- Reliance Retail JHON Players,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur", The candidate should have a valid Aadhar cardExperience : 3-5 Year in FIELD Sales APPAR...,garmentssales executive activitiesclothingapparelretail sales,HOT JOB6 Days Agosave,Mon Apr 27
3,assam,Phone Banking Officer,0-3 Yrs,"Guwahati, Mumbai, Hyderabad", Phone Banking Officer Job Title : Phone Banking officer Handling and resolving customer...,Phone bankingCustomer complaintsbanking products,30+ Days Agosave,Mon Apr 27
4,assam,Executive - Collections,0-3 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,ExecutivePeople management skillsRelationshipLegalCostMonitoring,30+ Days Agosave,Mon Apr 27
5,assam,Anesthesia Specialist,0-5 Yrs,"Guwahati, Vadodara", Wanted Anesthesia doctor to a reputed hospital in Guwahati AssamVacancy : 2Educational ...,AnaesthesiologyAnesthesia SpecialistAnesthesia doctorAnesthesia,HOT JOB27 Days Agosave,Mon Apr 27
6,assam,Urban Jio Point Manager C,3-5 Yrs,"Mangaldoi, Assam", 1. Identify and prioritize localities/areas for home and micro segment 2. Ensure accura...,TrainingTeam managementSalesMentorManagementCustomer engagement,7 Days Agosave,Mon Apr 27
7,assam,Regional Manager - Digital Product Finance ,4-6 Yrs,Guwahati, Duties and Responsibilities - Managing and supporting the effective deployment of team ...,Analytical skillsPMPEmployee developmentmanagementChannel managementMS OfficeChannel developmentFinancial services,30+ Days Agosave,Mon Apr 27
8,assam,Area Manager - Digital Product Finance - Growth/Senior Area Manager ,4-6 Yrs,Guwahati, Duties and Responsibilities - Engage with channel partners to build and strengthen rela...,TrainingRelationshipChannel managementManagementMS OfficeCostSales achievementRecruitment,30 Days Agosave,Mon Apr 27
9,assam,Area Sales Officers- Reliance Retail JHON PLAYERS,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur"," experience in showroom sales with clothing industry Experience : 3-5 Year in Sales, Sal...",garmentsRetail Salessales executive activitiesclothingapparelshowroom sales,HOT JOB22 Days Agosave,Mon Apr 27
10,assam,CHANNEL MANAGER - SALES,4-6 Yrs,Guwahati, QUALIFICATION ESSENTIAL : Graduation ADDITIONAL QUALIFICATION : EXPERIENCE : 4 - 6 Year...,TrainingMutual fundsIPORecruitment,30+ Days Agosave,Mon Apr 27
11,assam,ASM ,3-8 Yrs,"Guwahati, Kolkata", Should be a Graduate / Post Graduate with 5 to 6 years of experience of sales in same t...,TradeSales,30+ Days Agosave,Mon Apr 27
12,assam,Sales Manager,1-3 Yrs,Guwahati, Graduate with min. 4 to 7 years of experience of sales in Laminates / Plywood / Hardwar...,Distribution managementSalesExcelRelationshipHardware,30+ Days Agosave,Mon Apr 27
13,assam,Cluster Manager - Administration/Senior Cluster Manager,4-8 Yrs,Guwahati," Duties and Responsibilities - 1.Urban Branch Processes/Activities: Branch SLA Tracking,...",HousekeepingTeam managementLegal complianceMISLegalMS OfficeFacility managementCCTV,30+ Days Agosave,Mon Apr 27
14,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - Responsible for Field Debt Collection of Credit Card in t...,debt collectionInterpersonal skillsAssistant Manager CollectionsLegalManualManagementMonitoringAuditing,30+ Days Agosave,Mon Apr 27
15,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,Cash collectionExcelRTDData managementPeople management skillsAssistant Manager CollectionsRelationshipLegal,30+ Days Agosave,Mon Apr 27
16,assam,Officer Vigilance- For Jorhat location,1-3 Yrs,Assam Other, Required Candidate profile,vigilancefraudrisk,PREFERRED30+ Days Agosave,Mon Apr 27
17,assam,Officer Vigilance- For Jorhat Location,1-3 Yrs,Assam Other, Required Candidate profile,vigilancefraudrisk,HOT JOB30+ Days Agosave,Mon Apr 27
18,assam,e - Relationship Manager,4-6 Yrs,"Guwahati, Thane, Hyderabad", e - Relationship Manager Job Title: e - Relationship Manager Job Description: Build and...,Interpersonal skillsSalesCustomer satisfactionRelationshipPhone bankingBankingCustomer serviceManagement,30+ Days Agosave,Mon Apr 27
0,assam,Urgent Requirement-insuarance Officer-bancassurance- Silchar,1-6 Yrs,Silchar, Minimum GraduateExperience & Qualifications:,Automobiletravel insuranceLife InsuranceBrokingagency salessaleswealth planning officerTravel,HOT JOB5 Days Agosave,Mon Apr 27
1,assam,On the Role Opportunity in Max Life Insurance,2-7 Yrs,"Guwahati, Asansol, Burdwan, Kolkata"," Team building Agent recruitment Driving business through team members Motivating, monit...",BdSalesExecutive Sales & MarketingLife InsuranceTeam BuildingDistributionAgent RecruitmentChannel Sales,PREFERRED4 Days Agosave,Mon Apr 27
2,assam,Area Sales Officers- Reliance Retail JHON Players,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur", The candidate should have a valid Aadhar cardExperience : 3-5 Year in FIELD Sales APPAR...,garmentssales executive activitiesclothingapparelretail sales,HOT JOB6 Days Agosave,Mon Apr 27
3,assam,Phone Banking Officer,0-3 Yrs,"Guwahati, Mumbai, Hyderabad", Phone Banking Officer Job Title : Phone Banking officer Handling and resolving customer...,Phone bankingCustomer complaintsbanking products,30+ Days Agosave,Mon Apr 27
4,assam,Executive - Collections,0-3 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,ExecutivePeople management skillsRelationshipLegalCostMonitoring,30+ Days Agosave,Mon Apr 27
5,assam,Anesthesia Specialist,0-5 Yrs,"Guwahati, Vadodara", Wanted Anesthesia doctor to a reputed hospital in Guwahati AssamVacancy : 2Educational ...,AnaesthesiologyAnesthesia SpecialistAnesthesia doctorAnesthesia,HOT JOB27 Days Agosave,Mon Apr 27
6,assam,Urban Jio Point Manager C,3-5 Yrs,"Mangaldoi, Assam", 1. Identify and prioritize localities/areas for home and micro segment 2. Ensure accura...,TrainingTeam managementSalesMentorManagementCustomer engagement,7 Days Agosave,Mon Apr 27
7,assam,Regional Manager - Digital Product Finance ,4-6 Yrs,Guwahati, Duties and Responsibilities - Managing and supporting the effective deployment of team ...,Analytical skillsPMPEmployee developmentmanagementChannel managementMS OfficeChannel developmentFinancial services,30+ Days Agosave,Mon Apr 27
8,assam,Area Manager - Digital Product Finance - Growth/Senior Area Manager ,4-6 Yrs,Guwahati, Duties and Responsibilities - Engage with channel partners to build and strengthen rela...,TrainingRelationshipChannel managementManagementMS OfficeCostSales achievementRecruitment,30 Days Agosave,Mon Apr 27
9,assam,Area Sales Officers- Reliance Retail JHON PLAYERS,3-5 Yrs,"Bhubaneshwar, Guwahati, Delhi NCR, Ranchi, Mumbai, Ahmedabad, Chandigarh, Kolkata, Jaipur"," experience in showroom sales with clothing industry Experience : 3-5 Year in Sales, Sal...",garmentsRetail Salessales executive activitiesclothingapparelshowroom sales,HOT JOB22 Days Agosave,Mon Apr 27
10,assam,CHANNEL MANAGER - SALES,4-6 Yrs,Guwahati, QUALIFICATION ESSENTIAL : Graduation ADDITIONAL QUALIFICATION : EXPERIENCE : 4 - 6 Year...,TrainingMutual fundsIPORecruitment,30+ Days Agosave,Mon Apr 27
11,assam,ASM ,3-8 Yrs,"Guwahati, Kolkata", Should be a Graduate / Post Graduate with 5 to 6 years of experience of sales in same t...,TradeSales,30+ Days Agosave,Mon Apr 27
12,assam,Sales Manager,1-3 Yrs,Guwahati, Graduate with min. 4 to 7 years of experience of sales in Laminates / Plywood / Hardwar...,Distribution managementSalesExcelRelationshipHardware,30+ Days Agosave,Mon Apr 27
13,assam,Cluster Manager - Administration/Senior Cluster Manager,4-8 Yrs,Guwahati," Duties and Responsibilities - 1.Urban Branch Processes/Activities: Branch SLA Tracking,...",HousekeepingTeam managementLegal complianceMISLegalMS OfficeFacility managementCCTV,30+ Days Agosave,Mon Apr 27
14,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - Responsible for Field Debt Collection of Credit Card in t...,debt collectionInterpersonal skillsAssistant Manager CollectionsLegalManualManagementMonitoringAuditing,30+ Days Agosave,Mon Apr 27
15,assam,Assistant Manager - Collections,1-4 Yrs,Guwahati, Duties and Responsibilities - To achieve collection targets of the Respective Branch as...,Cash collectionExcelRTDData managementPeople management skillsAssistant Manager CollectionsRelationshipLegal,30+ Days Agosave,Mon Apr 27
